20201229066,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N
20201229067,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
20201229068,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N
20201229069,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
20201229070,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
20201229071,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
20201229072,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H
20201229073,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
20201229074,CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H
20201229075,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
20201229076,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N
20201229077,(AV:L/AC:L/Au:N/C:N/I:N/A:P)
20201229078,(AV:N/AC:M/Au:N/C:P/I:N/A:N)
20201229079,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
20201229080,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N
20201229081,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N
20201229082,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N
20201229083,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N
20201229084,CVSS:3.0/AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:N
20201229085,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N
20201229086,CVSS:3.0/AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:N
20201229087,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N
20201229088,(AV:N/AC:L/Au:N/C:N/I:N/A:P)
20201229089,(AV:N/AC:M/Au:N/C:N/I:N/A:P)
20201229090,(AV:N/AC:L/Au:N/C:P/I:P/A:N)
20201229091,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
20201229092,CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
20201229093,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
20201229094,(AV:N/AC:M/Au:N/C:P/I:N/A:N)
20201229095,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N
20201229096,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
20201229097,(AV:N/AC:L/Au:N/C:N/I:P/A:P)
20201229098,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
20201229099,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
20201229100,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N
20201229101,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
20201229102,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
20201229103,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
20201229104,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
20201229105,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
20201229106,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
20201229107,(AV:N/AC:L/Au:N/C:N/I:N/A:P)
20201229108,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
20201229109,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N
20201229110,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N
20201229111,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N
20201229112,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N
20201229113,CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N
20201229114,(AV:N/AC:L/Au:N/C:N/I:N/A:P)
20201229115,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
20201229116,(AV:L/AC:L/Au:N/C:P/I:P/A:P)
20201229117,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
20201229118,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N
